protocol_type,service,flag,src_bytes,dst_bytes,count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
1,60,2,0,0,105,0.02,0.08,2,0.01
1,37,1,0,0,150,0.01,0.06,2,0.01
1,22,9,248,748,12,1.0,0.0,255,1.0
1,22,9,303,474,3,1.0,0.0,253,1.0
1,19,1,0,0,219,0.06,0.07,13,0.05
1,4,5,0,0,290,0.03,0.06,9,0.04
1,22,9,222,869,7,1.0,0.0,255,1.0
1,45,1,0,0,132,0.01,0.07,1,0.0
1,18,9,162,597,1,1.0,0.0,3,0.01
1,49,9,0,83,1,1.0,0.0,124,0.49
1,22,9,220,261,27,1.0,0.0,255,1.0
0,13,9,18,0,1,1.0,0.0,32,1.0
1,45,1,0,0,125,0.14,0.06,17,0.07
1,22,9,327,367,3,1.0,0.0,255,1.0
1,22,9,321,741,25,1.0,0.0,255,1.0
1,60,2,0,0,113,0.15,0.06,17,0.07
1,49,9,2574,338,1,1.0,0.0,179,0.67
1,45,1,0,0,243,0.07,0.06,17,0.07
1,55,9,124,174,1,1.0,0.0,255,1.0
0,14,9,1032,0,434,1.0,0.0,255,1.0
1,19,9,283618,0,2,1.0,0.0,28,1.0
1,49,9,1522,481,1,1.0,0.0,16,0.06
1,22,9,294,1049,11,1.0,0.0,255,1.0
1,22,9,279,5592,2,1.0,0.0,255,1.0
2,45,9,1,1,33,0.03,0.91,1,0.0
1,45,5,0,0,131,0.04,0.07,5,0.02
2,45,9,41,0,5,1.0,0.0,254,1.0
1,45,1,0,0,233,0.05,0.07,11,0.04
1,45,1,0,0,124,0.13,0.06,16,0.06
1,43,9,28,93,1,1.0,0.0,113,0.88
2,11,9,43,127,87,1.0,0.0,109,0.6
1,22,9,215,3003,14,1.0,0.0,255,1.0
2,11,9,46,46,215,1.0,0.01,254,1.0
1,22,9,279,10713,9,1.0,0.0,255,1.0
1,40,1,0,0,448,0.0,1.0,1,0.0
1,22,9,200,52020,2,1.0,0.0,255,1.0
1,45,1,0,0,104,0.14,0.06,15,0.06
1,22,4,71584,0,33,1.0,0.0,255,1.0
1,22,9,267,493,10,1.0,0.0,255,1.0
1,6,1,0,0,237,0.01,0.07,2,0.01
1,45,1,0,0,147,0.1,0.05,15,0.06
1,22,9,302,7324,27,1.0,0.0,255,1.0
1,24,2,0,44,2,0.5,1.0,27,0.11
1,22,9,306,560,11,1.0,0.0,165,1.0
2,45,9,55,52,511,1.0,0.0,255,1.0
0,14,9,508,0,365,1.0,0.0,255,1.0
1,45,1,0,0,296,0.07,0.05,20,0.08
1,18,9,156,591,1,1.0,0.0,3,0.75
2,45,9,54,55,510,1.0,0.0,255,1.0
1,22,4,39420,4380,2,1.0,0.0,250,0.98
1,40,1,0,0,510,0.0,1.0,1,0.0
1,18,9,161,597,1,1.0,0.0,11,0.04
1,49,9,1339,330,1,1.0,0.0,14,0.88
1,22,9,211,2236,12,1.0,0.0,255,1.0
1,19,9,13239,0,11,1.0,0.0,29,0.21
1,48,5,0,0,148,0.07,0.05,11,0.04
2,45,9,105,105,1,1.0,0.0,255,1.0
1,45,1,0,0,105,0.09,0.06,9,0.04
1,45,1,0,0,234,0.02,0.07,4,0.02
1,22,9,224,6859,2,1.0,0.0,255,1.0
1,22,9,341,905,6,1.0,0.0,255,1.0
1,22,9,230,941,16,1.0,0.0,255,1.0
1,45,5,0,0,255,0.02,0.06,6,0.02
1,49,9,1148,333,1,1.0,0.0,141,0.55
1,49,9,1143,368,1,1.0,0.0,190,0.73
1,22,9,197,1830,2,1.0,0.0,229,1.0
1,45,1,0,0,216,0.06,0.06,14,0.05
1,22,9,201,4422,16,1.0,0.0,255,1.0
1,22,9,319,1665,6,1.0,0.0,255,1.0
1,22,9,326,2650,3,1.0,0.0,255,1.0
0,13,9,30,0,2,0.5,1.0,2,0.01
1,45,1,0,0,213,0.02,0.07,5,0.02
1,45,1,0,0,1,1.0,0.0,1,0.0
1,45,1,0,0,268,0.05,0.06,14,0.05
1,55,5,0,0,1,1.0,0.0,1,1.0
1,22,9,219,4898,17,1.0,0.0,255,1.0
1,22,9,54540,8314,4,1.0,0.0,251,0.98
0,14,9,1032,0,125,1.0,0.0,28,0.11
1,24,2,0,44,3,0.33,1.0,36,0.24
1,22,9,352,705,1,1.0,0.0,255,1.0
1,22,9,280,263,3,1.0,0.0,255,1.0
1,45,1,0,0,299,0.02,0.06,5,0.02
1,19,9,283618,0,1,1.0,0.0,8,1.0
1,18,9,158,595,1,1.0,0.0,102,0.4
1,45,1,0,0,97,0.08,0.06,8,0.03
1,55,9,124,174,1,1.0,0.0,108,0.42
1,58,2,0,0,217,0.0,0.08,1,0.0
1,18,9,162,597,1,1.0,0.0,95,0.37
1,45,1,0,0,95,0.05,0.07,5,0.02
1,22,9,301,1420,14,1.0,0.0,255,1.0
1,22,9,385,174,4,1.0,0.0,249,1.0
0,13,9,20,0,1,1.0,0.0,194,1.0
0,14,9,520,0,191,1.0,0.0,255,1.0
1,19,9,12,0,1,1.0,0.0,8,1.0
1,55,8,0,44,1,1.0,0.0,121,0.47
1,22,9,233,367,6,1.0,0.0,255,1.0
1,18,9,160,597,1,1.0,0.0,32,0.13
1,18,9,25,157,1,1.0,0.0,21,0.46
2,45,9,28,0,10,1.0,0.0,10,0.04
1,55,9,125,174,1,1.0,0.0,139,0.55
2,45,9,1,1,125,0.01,1.0,1,0.0
2,11,9,44,68,171,1.0,0.0,254,1.0
2,11,9,46,46,158,1.0,0.0,255,1.0
1,55,8,0,44,1,1.0,0.0,98,0.38
1,19,9,1690,0,2,1.0,0.0,8,0.03
1,45,1,0,0,256,0.01,0.06,2,0.01
2,45,9,105,0,1,1.0,0.0,6,1.0
1,45,1,0,0,121,0.1,0.07,12,0.05
1,40,4,244,620,1,1.0,0.0,29,0.11
1,19,9,12,0,2,1.0,0.0,22,1.0
1,22,9,202,2996,32,1.0,0.0,255,1.0
1,19,9,687,0,1,1.0,0.0,39,0.15
1,22,4,57184,0,32,1.0,0.0,253,0.99
1,45,5,0,0,264,0.03,0.06,7,0.03
2,11,9,43,107,5,1.0,0.0,248,0.97
1,3,9,10,36,1,1.0,0.0,1,0.02
1,22,9,291,8625,21,1.0,0.0,255,1.0
1,40,1,0,0,490,0.0,1.0,1,0.0
1,22,9,339,284,1,1.0,0.0,230,0.9
1,22,4,16384,8314,5,1.0,0.0,230,0.9
1,22,9,317,3811,6,1.0,0.0,253,1.0
1,45,1,0,0,248,0.01,0.07,2,0.01
1,52,1,0,0,3,0.33,1.0,48,0.14
2,11,9,43,43,153,1.0,0.0,240,0.94
1,43,9,32,93,1,1.0,0.0,177,0.9
1,22,9,157,12382,7,1.0,0.0,255,1.0
1,22,9,325,278,26,1.0,0.0,255,1.0
1,22,5,0,0,54,1.0,0.0,255,1.0
1,22,9,295,4543,6,1.0,0.0,255,1.0
1,45,1,0,0,118,0.11,0.06,13,0.05
1,55,9,0,44,1,1.0,0.0,119,0.47
1,22,9,211,22811,6,1.0,0.0,255,1.0
1,43,9,28,93,1,1.0,0.0,246,0.96
2,11,9,46,151,75,1.0,0.0,255,1.0
1,22,9,221,18217,38,1.0,0.0,255,1.0
2,11,9,43,107,1,1.0,0.0,243,0.95
1,40,1,0,0,2,0.5,1.0,2,0.01
1,45,1,0,0,245,0.05,0.06,12,0.05
1,19,9,641,0,2,1.0,0.0,86,0.41
1,45,4,0,0,1,1.0,0.0,1,0.0
2,11,9,46,46,93,0.99,0.02,254,1.0
2,45,9,42,42,2,1.0,0.0,255,1.0
1,45,1,0,0,221,0.0,0.07,1,0.0
1,22,9,331,260,1,1.0,0.0,255,1.0
1,45,1,0,0,121,0.02,0.07,2,0.01
1,45,5,0,0,182,0.08,0.09,15,0.06
1,40,1,0,0,1,1.0,0.0,12,0.16
1,19,9,12,0,1,1.0,0.0,13,0.04
1,6,1,0,0,271,0.05,0.06,13,0.05
1,55,5,0,0,122,0.02,0.07,3,0.01
1,43,9,32,93,1,1.0,0.0,50,0.94
1,22,9,241,489,28,1.0,0.0,255,1.0
1,22,4,50004,2920,3,1.0,0.0,255,1.0
1,45,1,0,0,135,0.07,0.07,9,0.04
1,24,2,0,44,1,1.0,0.0,60,0.24
1,22,9,219,1856,16,1.0,0.0,255,1.0
1,45,5,0,0,171,0.09,0.06,15,0.06
1,40,1,0,0,511,0.0,1.0,1,0.0
1,24,1,0,0,2,0.5,1.0,60,0.25
1,49,9,1433,327,1,1.0,0.0,144,0.6
1,45,1,0,0,261,0.02,0.07,5,0.02
1,55,9,0,44,1,1.0,0.0,239,0.94
1,17,2,0,0,226,0.08,0.06,17,0.07
1,40,4,0,0,3,0.33,0.67,1,0.0
1,22,9,206,2259,10,1.0,0.0,255,1.0
1,22,9,281,11252,1,1.0,0.0,253,1.0
1,49,9,2599,293,3,1.0,0.0,146,0.57
0,14,9,1032,0,511,1.0,0.0,59,0.23
0,13,9,18,0,1,1.0,0.0,43,1.0
1,45,1,0,0,234,0.04,0.07,9,0.04
1,22,9,386,2935,7,1.0,0.0,255,1.0
1,22,9,213,731,16,1.0,0.0,255,1.0
1,45,1,0,0,278,0.07,0.06,19,0.07
1,19,9,7673,0,1,1.0,0.0,19,0.15
1,22,9,241,775,7,1.0,0.0,255,1.0
1,24,1,0,0,4,0.25,0.75,64,0.25
1,22,5,0,0,49,0.37,0.06,63,0.25
1,49,9,2599,293,2,1.0,0.0,113,0.44
1,45,1,0,0,260,0.07,0.06,19,0.07
2,11,9,42,42,7,1.0,0.0,220,1.0
1,52,1,0,0,4,0.25,1.0,21,0.08
1,45,1,0,0,223,0.09,0.07,19,0.07
1,55,9,124,174,1,1.0,0.0,251,0.98
1,45,10,0,0,1,1.0,0.0,1,0.01
1,22,9,54540,8314,5,1.0,0.0,254,1.0
2,11,9,43,71,142,1.0,0.0,253,0.99
1,43,9,28,93,1,1.0,0.0,142,0.56
1,22,9,242,433,14,1.0,0.0,255,1.0
1,19,9,283618,0,1,1.0,0.0,9,0.14
1,19,9,283618,0,2,1.0,0.0,10,1.0
1,49,5,0,0,140,0.01,0.1,1,0.0
2,45,9,53,55,481,1.0,0.0,255,1.0
1,22,9,215,10038,15,1.0,0.0,255,1.0
1,22,9,303,2239,6,1.0,0.0,220,0.86
1,45,1,0,0,244,0.07,0.07,18,0.07
1,22,9,220,3542,15,1.0,0.0,255,1.0
1,55,9,0,44,1,1.0,0.0,236,0.93
1,22,9,216,2926,1,1.0,0.0,255,1.0
1,22,9,226,33600,1,1.0,0.0,255,1.0
1,22,9,297,5929,5,1.0,0.0,255,1.0
1,22,9,278,1731,11,1.0,0.0,153,1.0
1,45,5,0,0,128,0.15,0.06,19,0.07
1,22,9,218,2454,9,1.0,0.0,255,1.0
1,19,9,615,0,2,1.0,0.0,7,0.17
1,45,1,0,0,274,0.01,0.06,4,0.02
1,55,9,0,44,1,1.0,0.0,233,0.91
2,11,9,45,45,108,1.0,0.0,228,0.89
1,22,9,293,1965,5,1.0,0.0,255,1.0
1,45,1,0,0,113,0.04,0.08,4,0.02
1,52,5,0,0,150,0.07,0.05,11,0.04
1,22,9,353,4627,20,1.0,0.0,255,1.0
1,23,1,0,0,115,0.08,0.06,9,0.04
1,22,9,314,293,10,1.0,0.0,255,1.0
1,22,9,307,5381,5,1.0,0.0,255,1.0
1,22,9,54540,8314,4,1.0,0.0,254,1.0
1,30,5,0,0,128,0.09,0.05,11,0.04
1,22,5,0,0,125,1.0,0.0,255,1.0
1,22,9,235,280,6,1.0,0.0,255,1.0
1,45,1,0,0,231,0.06,0.07,15,0.06
1,18,9,166,601,1,1.0,0.0,46,0.18
1,22,9,284,797,16,1.0,0.0,255,1.0
1,22,9,223,32782,3,1.0,0.0,166,1.0
1,3,9,10,35,1,1.0,0.0,1,0.02
1,22,9,259,8653,11,1.0,0.0,255,1.0
1,45,5,0,0,187,0.1,0.09,19,0.07
1,22,9,336,10114,4,1.0,0.0,255,1.0
1,22,9,197,35012,1,1.0,0.0,255,1.0
2,45,9,53,53,511,1.0,0.0,255,1.0
1,55,9,0,44,1,1.0,0.0,169,0.66
1,16,5,0,0,41,0.05,0.2,2,0.01
2,11,9,45,45,96,1.0,0.0,255,1.0
1,22,9,229,2698,1,1.0,0.0,42,0.88
1,55,8,0,44,1,1.0,0.0,113,0.44
1,43,1,0,0,1,1.0,0.0,60,0.29
1,22,9,218,2839,5,1.0,0.0,255,1.0
1,55,8,0,44,1,1.0,0.0,122,0.48
1,49,9,1144,333,1,1.0,0.0,25,0.89
0,13,9,30,0,4,0.25,0.5,1,0.0
1,22,9,332,1379,4,1.0,0.0,255,1.0
1,22,9,280,23353,1,1.0,0.0,255,1.0
2,11,9,45,45,122,1.0,0.0,255,1.0
1,43,9,32,93,1,1.0,0.0,141,0.55
1,43,9,27,93,1,1.0,0.0,65,0.96
1,45,1,0,0,3,1.0,0.0,3,0.01
1,18,5,0,0,266,0.07,0.06,18,0.07
2,45,9,54,53,511,1.0,0.0,255,1.0
2,40,9,1,1,341,0.0,1.0,1,0.0
1,55,9,2773,41955,1,1.0,0.0,3,0.6
1,55,9,226,2615,1,1.0,0.0,2,0.01
1,22,9,265,4576,3,1.0,0.0,242,1.0
1,55,9,184,14497,1,1.0,0.0,85,0.01
1,45,5,0,0,188,0.02,0.09,3,0.01
1,49,9,869,337,1,1.0,0.0,137,0.39
1,22,5,0,0,26,0.62,0.08,68,0.27
1,19,5,0,0,286,0.05,0.06,15,0.06
1,22,9,164,1824,1,1.0,0.0,255,1.0
1,22,4,56504,0,11,1.0,0.0,242,0.95
1,22,4,74024,0,9,1.0,0.0,241,0.95
1,45,1,0,0,146,0.08,0.05,12,0.05
1,49,9,0,83,1,1.0,0.0,196,0.77
1,45,1,0,0,227,0.08,0.07,19,0.07
1,22,9,313,290,6,1.0,0.0,255,1.0
1,22,1,0,0,1,1.0,0.0,23,0.09
1,22,9,328,321,3,1.0,0.0,255,1.0
0,13,9,8,0,1,1.0,0.0,18,1.0
2,11,9,44,113,1,1.0,0.0,249,0.98
1,22,4,57964,0,63,1.0,0.0,253,0.99
1,45,5,0,0,146,0.12,0.09,17,0.07
1,55,9,0,44,1,1.0,0.0,165,0.65
1,22,9,231,12978,5,1.0,0.0,255,1.0
0,14,9,508,0,223,1.0,0.0,255,1.0
1,22,9,284,598,2,1.0,0.0,255,1.0
1,40,1,0,0,461,0.0,1.0,1,0.0
1,22,9,244,1452,10,1.0,0.0,255,1.0
1,19,9,283618,0,2,1.0,0.0,10,0.3
1,45,1,0,0,213,0.04,0.06,8,0.03
1,45,1,0,0,233,0.08,0.07,18,0.07
0,14,9,1032,0,508,1.0,0.0,111,0.44
1,40,1,0,0,490,0.0,1.0,1,0.0
0,13,9,18,0,1,1.0,0.0,50,1.0
1,45,1,0,0,263,0.02,0.06,4,0.02
1,22,9,267,34524,1,1.0,0.0,255,1.0
2,11,9,46,75,198,0.99,0.02,254,1.0
1,55,2,0,15,1,1.0,0.0,85,0.33
2,40,9,146,105,1,1.0,0.0,4,0.02
1,19,9,16,0,2,1.0,0.0,3,0.01
2,11,9,45,45,123,1.0,0.0,238,0.93
1,55,9,0,44,1,1.0,0.0,221,0.87
1,22,9,246,291,3,1.0,0.0,255,1.0
1,49,9,2599,293,2,1.0,0.0,61,0.24
2,45,9,28,0,51,1.0,0.0,51,0.67
2,45,9,54,55,509,1.0,0.0,254,1.0
2,11,9,45,147,44,1.0,0.0,216,0.88
1,55,2,0,0,32,0.62,0.06,21,0.08
1,45,1,0,0,175,0.07,0.06,13,0.05
1,24,1,0,0,2,0.5,1.0,3,0.01
2,45,9,1,1,115,0.01,0.83,1,0.0
1,22,9,308,370,8,1.0,0.0,255,1.0
1,43,9,32,93,1,1.0,0.0,146,0.88
1,22,9,204,2763,14,1.0,0.0,255,1.0
0,14,9,1008,0,313,1.0,0.0,255,1.0
1,18,9,156,593,1,1.0,0.0,37,0.15
1,22,1,0,0,1,1.0,0.0,17,1.0
1,22,9,188,294,7,1.0,0.0,255,1.0
1,22,4,81324,0,8,1.0,0.0,234,0.99
0,14,9,1480,0,1,1.0,0.0,255,1.0
2,11,9,42,42,129,1.0,0.0,255,1.0
1,19,9,12,0,1,1.0,0.0,25,1.0
1,22,9,268,435,1,1.0,0.0,239,1.0
1,40,1,0,0,1,1.0,0.0,14,0.05
1,43,9,30,93,1,1.0,0.0,252,0.99
1,22,9,261,23238,4,1.0,0.0,255,1.0
1,45,1,0,0,102,0.08,0.08,8,0.03
1,49,9,1366,337,1,1.0,0.0,30,0.12
1,22,9,217,676,17,1.0,0.0,255,1.0
1,22,9,224,1445,8,1.0,0.0,255,1.0
1,22,9,346,1489,9,1.0,0.0,255,1.0
1,45,0,0,0,1,1.0,0.0,1,0.0
1,1,9,62825648,90476,1,1.0,0.0,1,0.01
1,40,1,0,0,444,0.0,1.0,1,0.0
1,10,1,0,0,118,0.15,0.08,18,0.07
2,11,9,44,71,116,0.99,0.02,253,0.99
2,45,9,105,146,2,1.0,0.0,128,1.0
1,22,9,221,871,8,1.0,0.0,255,1.0
1,22,9,240,12210,1,1.0,0.0,255,1.0
1,18,5,0,0,143,0.01,0.1,1,0.0
1,22,9,339,996,22,1.0,0.0,247,1.0
2,11,9,46,81,171,1.0,0.0,255,1.0
1,6,1,0,0,216,0.07,0.07,16,0.06
1,22,9,277,25484,2,1.0,0.0,2,1.0
1,49,9,48181,330,1,1.0,0.0,98,0.45
2,45,9,105,147,2,1.0,0.0,255,1.0
1,3,9,10,36,1,1.0,0.0,15,0.08
1,49,9,642,333,1,1.0,0.0,168,0.82
1,55,9,0,44,1,1.0,0.0,174,0.68
2,11,9,46,74,383,1.0,0.0,254,1.0
2,45,9,105,146,2,1.0,0.0,254,1.0
1,49,9,2599,293,2,1.0,0.0,132,0.52
1,45,2,0,0,210,0.02,0.08,4,0.02
1,18,9,160,597,1,1.0,0.0,8,0.89
1,22,9,193,759,2,1.0,0.0,255,1.0
2,11,9,43,43,2,1.0,0.0,232,0.91
2,40,9,1,1,81,0.01,1.0,1,0.0
1,45,5,0,0,158,0.03,0.11,5,0.02
1,45,5,0,0,144,0.04,0.1,6,0.02
1,22,9,316,1452,11,1.0,0.0,255,1.0
1,22,9,296,1427,4,1.0,0.0,48,1.0
1,22,9,296,1785,21,1.0,0.0,255,1.0
1,43,9,32,93,1,1.0,0.0,236,0.93
1,45,4,0,0,1,1.0,0.0,1,0.0
1,51,1,0,0,294,0.02,0.06,6,0.02
1,43,9,30,217,8,0.12,0.25,14,0.09
1,22,9,214,770,33,1.0,0.0,255,1.0
1,22,4,56504,0,36,1.0,0.0,255,1.0
1,61,5,0,0,300,0.07,0.05,20,0.08
1,22,4,20004,0,72,1.0,0.0,253,0.99
1,20,5,0,0,120,0.08,0.07,9,0.04
1,5,1,0,0,106,0.04,0.08,4,0.02
2,45,9,54,52,427,1.0,0.0,255,1.0
1,22,9,204,1872,23,1.0,0.0,255,1.0
1,40,1,0,0,434,0.0,1.0,1,0.0
1,45,1,0,0,266,0.05,0.06,12,0.05
1,55,9,0,15,1,1.0,0.0,67,0.26
1,22,9,223,1214,13,1.0,0.0,255,1.0
1,4,1,0,0,248,0.08,0.06,19,0.07
1,22,9,231,4665,13,1.0,0.0,255,1.0
1,19,9,15876,0,15,1.0,0.0,21,0.08
1,22,9,222,8114,2,1.0,0.0,255,1.0
1,40,4,0,0,1,1.0,0.0,1,0.0
1,22,9,232,695,12,1.0,0.0,255,1.0
1,55,8,0,44,1,1.0,0.0,126,0.49
1,45,5,0,0,275,0.07,0.06,20,0.08
1,18,9,95,332,1,1.0,0.0,90,0.36
1,49,9,1146,332,1,1.0,0.0,113,0.41
1,22,9,184,10771,2,1.0,0.0,255,1.0
1,18,9,4455,7403,1,1.0,0.0,1,0.08
1,22,9,332,7324,36,1.0,0.0,255,1.0
1,22,9,234,6740,16,1.0,0.0,255,1.0
1,22,9,337,1528,2,1.0,0.0,255,1.0
0,14,9,508,0,309,1.0,0.0,255,1.0
1,18,9,160,597,1,1.0,0.0,13,0.05
1,22,9,233,34228,1,1.0,0.0,255,1.0
1,45,1,0,0,277,0.04,0.06,12,0.05
1,22,9,292,3247,4,1.0,0.0,255,1.0
1,18,9,160,595,1,1.0,0.0,117,0.46
2,11,9,45,45,149,1.0,0.0,255,1.0
1,43,9,32,93,1,1.0,0.0,233,0.92
2,45,9,105,146,3,0.67,0.67,253,0.99
2,45,9,1,1,13,0.23,0.46,3,0.01
1,52,1,0,0,1,1.0,0.0,52,0.17
1,49,9,1096,327,1,1.0,0.0,169,0.64
1,22,9,197,5989,8,1.0,0.0,255,1.0
1,22,9,307,484,2,1.0,0.0,255,1.0
1,22,9,280,491,2,1.0,0.0,255,1.0
1,22,9,336,267,2,1.0,0.0,255,1.0
1,5,1,0,0,127,0.06,0.06,7,0.03
0,14,9,508,0,511,1.0,0.0,44,0.26
2,45,9,1,0,51,0.12,0.63,9,0.04
0,14,9,520,0,510,1.0,0.0,176,1.0
1,52,1,0,0,1,1.0,0.0,28,0.11
1,22,1,0,0,40,0.35,0.1,54,0.21
1,22,9,242,600,18,1.0,0.0,255,1.0
1,19,9,283618,0,2,1.0,0.0,6,1.0
1,55,9,124,174,1,1.0,0.0,169,0.66
1,22,9,199,1343,38,1.0,0.0,255,1.0
1,49,9,0,83,1,1.0,0.0,187,0.73
1,49,9,2727,334,1,1.0,0.0,31,0.12
2,11,9,45,45,197,1.0,0.0,228,0.89
1,22,9,211,5328,29,1.0,0.0,255,1.0
1,45,1,0,0,182,0.01,0.54,1,0.01
1,22,9,311,1164,15,1.0,0.0,255,1.0
1,45,1,0,0,192,0.06,0.06,11,0.04
1,22,9,299,63112,2,1.0,0.0,255,1.0
1,55,9,125,174,2,1.0,0.0,89,0.35
1,24,2,1352,291,1,1.0,0.0,1,0.0
1,22,9,349,926,3,1.0,0.0,255,1.0
1,45,5,0,0,108,0.07,0.06,8,0.03
1,45,1,0,0,275,0.07,0.06,18,0.07
1,45,1,0,0,238,0.06,0.06,15,0.06
1,45,1,0,0,272,0.03,0.06,9,0.04
2,45,9,1,1,38,0.03,0.34,1,0.0
1,20,5,0,0,186,0.02,0.09,4,0.02
1,45,1,0,0,121,0.11,0.07,13,0.05
2,45,9,1,1,82,0.01,0.8,1,0.0
1,55,9,0,0,4,0.5,0.75,127,0.5
1,45,1,0,0,104,0.12,0.06,12,0.05
1,22,9,229,1405,16,1.0,0.0,255,1.0
1,45,1,0,0,136,0.13,0.05,18,0.07
1,22,9,229,359,13,1.0,0.0,213,1.0
1,30,2,0,0,150,0.11,0.05,17,0.07
1,23,1,0,0,104,0.14,0.07,15,0.06
1,18,9,158,595,1,1.0,0.0,128,0.5
1,55,8,1,15,1,1.0,0.0,39,0.15
1,40,1,0,0,511,0.0,1.0,1,0.0
1,10,5,0,0,150,0.03,0.09,4,0.02
1,18,9,162,601,1,1.0,0.0,57,0.22
1,43,9,32,93,1,1.0,0.0,88,0.84
1,22,9,238,1077,6,1.0,0.0,255,1.0
1,22,9,304,6019,9,1.0,0.0,255,1.0
1,3,9,10,35,2,0.5,1.0,2,0.01
1,22,5,0,0,79,1.0,0.0,255,1.0
1,22,9,213,3390,4,1.0,0.0,255,1.0
2,11,9,43,132,67,1.0,0.0,255,1.0
1,43,2,0,36,3,0.33,1.0,54,0.21
0,13,9,20,0,1,1.0,0.0,36,1.0
0,14,9,1008,0,209,1.0,0.0,255,1.0
1,43,9,28,93,1,1.0,0.0,250,0.98
1,22,9,235,4097,1,1.0,0.0,255,1.0
1,19,9,7658,0,2,1.0,0.0,18,0.08
1,2,1,0,0,285,0.07,0.06,19,0.07
1,43,9,28,93,1,1.0,0.0,220,0.92
1,22,9,218,282,7,1.0,0.0,255,1.0
1,22,5,0,0,33,1.0,0.0,255,1.0
1,40,5,0,0,412,0.0,1.0,1,0.0
1,22,9,349,1412,17,1.0,0.0,254,1.0
0,14,9,520,0,15,1.0,0.0,255,1.0
1,22,9,166,171,1,1.0,0.0,255,1.0
1,22,9,318,762,34,1.0,0.0,255,1.0
